2026-08-30 01:53:48,396 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,405 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,407 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,410 | INFO     | src.silver.validator | Validation de 1 lignes...
2026-08-30 01:53:48,413 | INFO     | src.silver.validator | Validation terminée : 1 valides, 0 rejetées.
2026-08-30 01:54:14,522 | INFO     | __main__ | === Démarrage du pipeline ETL pour data/bronze/signalements.xlsx ===
2026-08-30 01:54:14,526 | INFO     | src.bronze.extractor | Extraction du fichier : data/bronze/signalements.xlsx
2026-08-30 01:54:14,968 | INFO     | src.bronze.extractor | 138 lignes extraites, 12 colonnes.
2026-08-30 01:54:14,968 | INFO     | src.silver.cleaner | Nettoyage de 138 lignes...
2026-08-30 01:54:14,979 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=5, age=9
2026-08-30 01:54:14,983 | INFO     | src.silver.cleaner | Nettoyage terminé : 138 lignes, 17 colonnes.
2026-08-30 01:54:14,983 | INFO     | src.silver.validator | Validation de 138 lignes...
2026-08-30 01:54:14,989 | INFO     | src.silver.validator | Validation terminée : 138 valides, 0 rejetées.
2026-08-30 01:54:15,049 | INFO     | src.gold.star_schema_builder | Début du chargement de 138 lignes validées...
2026-08-30 01:54:15,051 | ERROR    | src.gold.star_schema_builder | Échec du chargement, rollback effectué. Raison : ERREUR:  la relation « dim_date » n'existe pas
LINE 1: SELECT date_id FROM dim_date WHERE date_complete = '2025-01-...
                            ^

2026-08-30 01:54:27,713 | INFO     | __main__ | Test rapide : KPI globaux vs KPI filtrés sur Instagram uniquement.
2026-08-30 02:23:29,917 | INFO     | __main__ | === Démarrage du pipeline ETL pour data/bronze/signalements.xlsx ===
2026-08-30 02:23:29,917 | INFO     | src.bronze.extractor | Extraction du fichier : data/bronze/signalements.xlsx
2026-08-30 02:23:30,207 | INFO     | src.bronze.extractor | 138 lignes extraites, 12 colonnes.
2026-08-30 02:23:30,207 | INFO     | src.silver.cleaner | Nettoyage de 138 lignes...
2026-08-30 02:23:30,222 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=5, age=9
2026-08-30 02:23:30,228 | INFO     | src.silver.cleaner | Nettoyage terminé : 138 lignes, 17 colonnes.
2026-08-30 02:23:30,228 | INFO     | src.silver.validator | Validation de 138 lignes...
2026-08-30 02:23:30,234 | INFO     | src.silver.validator | Validation terminée : 138 valides, 0 rejetées.
2026-08-30 02:23:30,286 | INFO     | src.gold.star_schema_builder | Début du chargement de 138 lignes validées...
2026-08-30 02:23:30,294 | ERROR    | src.gold.star_schema_builder | Échec du chargement, rollback effectué. Raison : ERREUR:  la relation « dim_date » n'existe pas
LINE 1: SELECT date_id FROM dim_date WHERE date_complete = '2025-01-...
                            ^

2026-08-30 12:03:58,511 | INFO     | __main__ | === Démarrage du pipeline ETL pour data/bronze/signalements.xlsx ===
2026-08-30 12:03:58,511 | INFO     | src.bronze.extractor | Extraction du fichier : data/bronze/signalements.xlsx
2026-08-30 12:03:59,205 | INFO     | src.bronze.extractor | 138 lignes extraites, 12 colonnes.
2026-08-30 12:03:59,205 | INFO     | src.silver.cleaner | Nettoyage de 138 lignes...
